COUNTER,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,GYROX,GYROY,TIMESTAMP,FUNC_ID,FUNC_VALUE,MARKER,SYNC_SIGNAL]
69,4092.307692,4360,3835.897436,4204.102564,4186.153846,4041.025641,4494.871795,4025.128205,4357.435897,4226.153846,4350.769231,4124.615385,4242.564103,4148.717949,1680,1744,22.121,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
70,4081.538462,4358.461538,3842.051282,4203.589744,4185.128205,4056.923077,4483.076923,4032.307692,4332.820513,4229.230769,4337.435897,4143.589744,4229.230769,4174.871795,1682,1745,22.129,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
71,4107.692308,4360,3836.410256,4194.358974,4175.384615,4062.564103,4494.358974,4035.384615,4355.384615,4231.282051,4344.615385,4175.897436,4239.487179,4167.692308,1679,1745,22.137,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
72,4095.384615,4358.461538,3848.717949,4206.153846,4187.692308,4048.717949,4490.25641,4031.794872,4344.102564,4230.25641,4346.666667,4179.487179,4218.974359,4158.974359,1681,1744,22.144,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
73,4092.820513,4352.307692,3841.025641,4198.461538,4181.025641,4039.487179,4481.025641,4034.358974,4352.307692,4229.74359,4345.128205,4160.512821,4236.923077,4175.384615,1680,1745,22.151,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
74,4102.051282,4356.923077,3836.923077,4195.384615,4179.487179,4056.410256,4496.410256,4033.846154,4352.307692,4228.717949,4348.717949,4112.307692,4237.435897,4162.564103,1681,1745,22.159,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
75,4102.051282,4355.897436,3856.410256,4208.205128,4188.717949,4040.512821,4474.871795,4031.794872,4333.333333,4230.25641,4348.717949,4127.179487,4235.897436,4160.512821,1680,1743,22.168,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
76,4087.179487,4350.25641,3851.794872,4194.358974,4183.076923,4032.307692,4486.666667,4035.384615,4351.282051,4231.282051,4354.358974,4163.589744,4254.358974,4169.74359,1680,1745,22.176,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
77,4072.820513,4357.948718,3850.25641,4195.384615,4184.615385,4048.717949,4494.871795,4032.820513,4347.692308,4229.74359,4348.205128,4145.128205,4228.205128,4158.461538,1681,1744,22.183,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
78,4091.282051,4355.384615,3851.794872,4202.564103,4184.615385,4037.435897,4477.435897,4032.820513,4332.820513,4228.717949,4340,4140.512821,4219.487179,4157.948718,1680,1744,22.191,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
79,4108.717949,4356.410256,3843.589744,4194.871795,4178.974359,4087.692308,4494.358974,4036.410256,4343.589744,4230.25641,4347.692308,4142.564103,4233.333333,4160,1680,1745,22.199,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
80,4100,4357.948718,3847.179487,4199.487179,4180.512821,4132.820513,4470.769231,4032.820513,4342.564103,4232.820513,4352.307692,4143.589744,4230.769231,4155.897436,1681,1744,22.207,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
