COUNTER,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,GYROX,GYROY,TIMESTAMP,FUNC_ID,FUNC_VALUE,MARKER,SYNC_SIGNAL,USER,CLASS
122.0,4712.82051282,4568.71794872,4608.71794872,4346.66666667,4563.58974359,4028.20512821,4557.94871795,4689.74358974,4584.1025641,4776.92307692,4581.53846154,4523.07692308,4364.61538462,4325.12820513,1695.0,1663.0,216.917,0.0,0.0,0.0,0.0,mike,0
123.0,4716.41025641,4566.66666667,4610.76923077,4346.15384615,4578.46153846,4030.25641026,4557.43589744,4695.8974359,4586.15384615,4778.97435897,4580.51282051,4524.61538462,4365.64102564,4329.23076923,1694.0,1662.0,216.925,0.0,0.0,0.0,0.0,mike,0
124.0,4707.17948718,4554.87179487,4601.53846154,4340.51282051,4574.87179487,4025.12820513,4554.35897436,4691.79487179,4584.1025641,4771.79487179,4574.35897436,4520.51282051,4365.12820513,4321.02564103,1694.0,1664.0,216.933,0.0,0.0,0.0,0.0,mike,0
125.0,4698.97435897,4550.76923077,4597.94871795,4337.43589744,4556.92307692,4016.41025641,4551.79487179,4690.25641026,4584.61538462,4768.71794872,4575.8974359,4516.92307692,4364.61538462,4313.33333333,1695.0,1662.0,216.94,0.0,0.0,0.0,0.0,mike,0
126.0,4700.51282051,4552.82051282,4599.48717949,4341.53846154,4563.58974359,4019.48717949,4554.35897436,4692.30769231,4587.17948718,4771.28205128,4578.97435897,4517.94871795,4363.07692308,4320.51282051,1694.0,1663.0,216.948,0.0,0.0,0.0,0.0,mike,0
127.0,4712.82051282,4560.0,4608.20512821,4346.66666667,4579.48717949,4030.76923077,4560.0,4694.87179487,4587.17948718,4776.41025641,4583.58974359,4523.58974359,4368.20512821,4332.82051282,1694.0,1664.0,216.956,0.0,0.0,0.0,0.0,mike,0
128.0,4719.48717949,4570.25641026,4616.92307692,4350.25641026,4574.87179487,4034.35897436,4558.46153846,4696.92307692,4586.66666667,4782.05128205,4587.17948718,4526.66666667,4375.8974359,4335.38461538,1694.0,1663.0,216.964,0.0,0.0,0.0,0.0,mike,0
0.0,4714.35897436,4566.66666667,4610.76923077,4349.23076923,4569.23076923,4029.23076923,4553.84615385,4694.35897436,4588.20512821,4781.53846154,4585.12820513,4524.61538462,4372.30769231,4332.30769231,1695.0,1662.0,216.972,0.0,0.0,0.0,0.0,mike,0
1.0,4712.82051282,4558.97435897,4606.15384615,4346.15384615,4569.74358974,4028.71794872,4561.02564103,4695.8974359,4589.23076923,4777.43589744,4585.12820513,4526.66666667,4368.20512821,4333.33333333,1693.0,1663.0,216.979,0.0,0.0,0.0,0.0,mike,0
2.0,4718.46153846,4561.02564103,4614.87179487,4346.66666667,4569.23076923,4031.28205128,4569.23076923,4702.56410256,4587.69230769,4777.94871795,4588.20512821,4527.17948718,4371.79487179,4335.8974359,1694.0,1663.0,216.987,0.0,0.0,0.0,0.0,mike,0
3.0,4718.97435897,4565.12820513,4617.94871795,4348.20512821,4580.0,4031.28205128,4568.20512821,4703.07692308,4589.23076923,4779.48717949,4587.17948718,4526.66666667,4374.35897436,4335.8974359,1693.0,1662.0,216.995,0.0,0.0,0.0,0.0,mike,0
4.0,4719.48717949,4567.17948718,4614.35897436,4347.17948718,4576.92307692,4029.74358974,4565.12820513,4701.53846154,4592.30769231,4781.02564103,4589.74358974,4529.23076923,4377.43589744,4336.92307692,1694.0,1662.0,217.003,0.0,0.0,0.0,0.0,mike,0
5.0,4721.53846154,4568.71794872,4615.38461538,4347.69230769,4557.94871795,4027.69230769,4560.51282051,4703.58974359,4592.30769231,4782.05128205,4590.76923077,4531.28205128,4382.05128205,4339.48717949,1693.0,1661.0,217.011,0.0,0.0,0.0,0.0,mike,0
6.0,4717.43589744,4563.07692308,4615.38461538,4347.69230769,4566.66666667,4029.23076923,4555.8974359,4700.0,4589.23076923,4779.48717949,4587.17948718,4526.66666667,4377.43589744,4336.92307692,1694.0,1662.0,217.02,0.0,0.0,0.0,0.0,mike,0
7.0,4713.33333333,4561.02564103,4613.84615385,4346.15384615,4581.53846154,4031.79487179,4557.43589744,4691.79487179,4587.17948718,4778.46153846,4586.15384615,4526.15384615,4370.25641026,4333.33333333,1695.0,1661.0,217.026,0.0,0.0,0.0,0.0,mike,0
8.0,4717.43589744,4565.64102564,4615.38461538,4348.20512821,4571.79487179,4028.71794872,4558.46153846,4691.79487179,4587.17948718,4778.97435897,4587.69230769,4534.87179487,4372.30769231,4335.8974359,1694.0,1662.0,217.034,0.0,0.0,0.0,0.0,mike,0
9.0,4720.0,4563.58974359,4617.43589744,4349.23076923,4566.66666667,4026.66666667,4556.41025641,4696.92307692,4587.17948718,4773.33333333,4586.66666667,4536.41025641,4373.33333333,4336.92307692,1695.0,1661.0,217.042,0.0,0.0,0.0,0.0,mike,0
10.0,4713.33333333,4555.38461538,4614.87179487,4347.17948718,4573.33333333,4029.74358974,4556.41025641,4697.43589744,4585.12820513,4765.12820513,4585.12820513,4526.66666667,4367.17948718,4330.25641026,1694.0,1662.0,217.05,0.0,0.0,0.0,0.0,mike,0
11.0,4706.15384615,4554.35897436,4604.61538462,4344.1025641,4571.79487179,4029.74358974,4552.82051282,4689.74358974,4582.05128205,4762.05128205,4583.58974359,4520.0,4362.56410256,4324.61538462,1694.0,1661.0,217.058,0.0,0.0,0.0,0.0,mike,0
12.0,4706.15384615,4555.8974359,4599.48717949,4345.12820513,4569.23076923,4027.69230769,4551.28205128,4687.17948718,4583.07692308,4766.15384615,4583.07692308,4521.53846154,4363.07692308,4325.12820513,1694.0,1662.0,217.065,0.0,0.0,0.0,0.0,mike,0
13.0,4706.66666667,4554.87179487,4605.64102564,4348.71794872,4572.30769231,4029.74358974,4555.8974359,4692.30769231,4583.58974359,4769.23076923,4584.1025641,4524.1025641,4364.61538462,4326.15384615,1695.0,1662.0,217.073,0.0,0.0,0.0,0.0,mike,0
14.0,4704.61538462,4554.35897436,4605.12820513,4350.25641026,4572.30769231,4030.76923077,4555.8974359,4689.74358974,4582.05128205,4766.66666667,4582.56410256,4520.0,4363.58974359,4323.58974359,1694.0,1661.0,217.082,0.0,0.0,0.0,0.0,mike,0
15.0,4701.02564103,4554.35897436,4598.46153846,4347.69230769,4570.76923077,4028.20512821,4553.33333333,4688.20512821,4582.05128205,4768.71794872,4582.56410256,4517.43589744,4363.07692308,4323.07692308,1695.0,1662.0,217.089,0.0,0.0,0.0,0.0,mike,0
16.0,4705.12820513,4554.87179487,4604.1025641,4346.15384615,4570.25641026,4027.69230769,4554.35897436,4696.92307692,4585.64102564,4778.97435897,4586.66666667,4520.51282051,4370.25641026,4329.74358974,1694.0,1661.0,217.097,0.0,0.0,0.0,0.0,mike,0
17.0,4714.87179487,4556.41025641,4614.35897436,4349.23076923,4572.30769231,4030.25641026,4555.8974359,4704.61538462,4590.25641026,4785.12820513,4590.25641026,4526.15384615,4377.94871795,4336.41025641,1694.0,1663.0,217.105,0.0,0.0,0.0,0.0,mike,0
18.0,4714.87179487,4554.87179487,4611.28205128,4349.74358974,4573.84615385,4028.71794872,4554.87179487,4702.56410256,4588.20512821,4780.51282051,4588.71794872,4525.12820513,4375.8974359,4335.8974359,1695.0,1661.0,217.112,0.0,0.0,0.0,0.0,mike,0
19.0,4711.28205128,4555.8974359,4607.69230769,4346.66666667,4572.82051282,4029.23076923,4555.38461538,4701.02564103,4589.23076923,4777.94871795,4586.66666667,4524.1025641,4371.28205128,4333.33333333,1694.0,1663.0,217.12,0.0,0.0,0.0,0.0,mike,0
20.0,4718.46153846,4560.0,4615.8974359,4347.17948718,4574.87179487,4035.8974359,4560.0,4704.61538462,4594.87179487,4782.56410256,4588.20512821,4528.71794872,4375.8974359,4337.43589744,1695.0,1662.0,217.128,0.0,0.0,0.0,0.0,mike,0
21.0,4721.53846154,4558.97435897,4620.0,4349.23076923,4567.69230769,4031.28205128,4559.48717949,4702.56410256,4592.30769231,4782.05128205,4587.17948718,4528.20512821,4377.94871795,4337.43589744,1694.0,1662.0,217.136,0.0,0.0,0.0,0.0,mike,0
22.0,4711.79487179,4553.33333333,4608.71794872,4346.66666667,4560.51282051,4020.51282051,4552.30769231,4693.33333333,4583.58974359,4772.30769231,4585.12820513,4521.02564103,4369.23076923,4328.20512821,1694.0,1663.0,217.144,0.0,0.0,0.0,0.0,mike,0
23.0,4707.69230769,4553.33333333,4600.51282051,4344.61538462,4567.69230769,4024.1025641,4552.30769231,4688.20512821,4583.07692308,4766.66666667,4584.1025641,4520.0,4365.12820513,4324.61538462,1694.0,1663.0,217.151,0.0,0.0,0.0,0.0,mike,0
24.0,4710.25641026,4555.8974359,4604.61538462,4347.17948718,4574.35897436,4030.25641026,4554.35897436,4688.71794872,4585.64102564,4769.23076923,4580.51282051,4522.56410256,4363.07692308,4324.61538462,1694.0,1662.0,217.159,0.0,0.0,0.0,0.0,mike,0
25.0,4707.17948718,4554.87179487,4602.56410256,4348.20512821,4570.76923077,4027.17948718,4551.79487179,4687.69230769,4582.56410256,4767.17948718,4575.8974359,4518.97435897,4357.43589744,4320.51282051,1693.0,1663.0,217.167,0.0,0.0,0.0,0.0,mike,0
26.0,4706.66666667,4555.38461538,4603.07692308,4345.64102564,4570.25641026,4028.20512821,4553.33333333,4692.30769231,4582.56410256,4764.61538462,4575.38461538,4517.43589744,4357.94871795,4320.51282051,1694.0,1663.0,217.175,0.0,0.0,0.0,0.0,mike,0
27.0,4712.30769231,4556.92307692,4612.30769231,4347.69230769,4569.23076923,4032.30769231,4557.43589744,4702.05128205,4586.15384615,4772.30769231,4580.0,4522.56410256,4364.61538462,4326.15384615,1693.0,1662.0,217.183,0.0,0.0,0.0,0.0,mike,0
28.0,4716.41025641,4556.92307692,4613.33333333,4350.76923077,4565.12820513,4029.23076923,4555.8974359,4705.12820513,4587.69230769,4771.28205128,4584.1025641,4523.58974359,4366.66666667,4329.74358974,1694.0,1662.0,217.191,0.0,0.0,0.0,0.0,mike,0
29.0,4718.46153846,4561.02564103,4611.79487179,4350.25641026,4574.35897436,4028.20512821,4552.82051282,4703.58974359,4586.66666667,4769.23076923,4585.64102564,4524.61538462,4364.61538462,4332.30769231,1694.0,1662.0,217.202,0.0,0.0,0.0,0.0,mike,0
30.0,4719.48717949,4565.64102564,4618.46153846,4348.71794872,4581.53846154,4029.23076923,4553.33333333,4705.12820513,4587.69230769,4777.43589744,4586.15384615,4531.28205128,4368.71794872,4337.43589744,1694.0,1662.0,217.206,0.0,0.0,0.0,0.0,mike,0
31.0,4713.33333333,4559.48717949,4614.35897436,4348.71794872,4571.79487179,4024.1025641,4551.79487179,4705.12820513,4588.71794872,4773.33333333,4584.61538462,4530.76923077,4369.23076923,4333.84615385,1694.0,1662.0,217.214,0.0,0.0,0.0,0.0,mike,0
32.0,4710.25641026,4552.82051282,4603.07692308,4348.71794872,4562.56410256,4021.53846154,4549.74358974,4701.53846154,4585.64102564,4764.61538462,4582.56410256,4521.02564103,4363.07692308,4325.12820513,1694.0,1662.0,217.222,0.0,0.0,0.0,0.0,mike,0
33.0,4716.92307692,4560.51282051,4610.25641026,4350.76923077,4568.71794872,4031.28205128,4555.38461538,4701.53846154,4589.23076923,4776.41025641,4585.64102564,4525.64102564,4368.20512821,4330.76923077,1693.0,1661.0,217.23,0.0,0.0,0.0,0.0,mike,0
