COUNTER,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,GYROX,GYROY,TIMESTAMP,FUNC_ID,FUNC_VALUE,MARKER,SYNC_SIGNAL,USER,CLASS
123.0,4673.33333333,4524.1025641,4598.46153846,4267.69230769,4552.82051282,4013.33333333,4522.05128205,4653.33333333,4541.02564103,4689.74358974,4474.35897436,4461.02564103,4352.30769231,4310.76923077,1696.0,1663.0,89.02,0.0,0.0,0.0,0.0,mike,3
124.0,4680.0,4524.1025641,4601.02564103,4277.43589744,4555.38461538,4020.51282051,4534.35897436,4653.84615385,4548.20512821,4693.33333333,4480.51282051,4471.28205128,4357.43589744,4310.76923077,1696.0,1663.0,89.028,0.0,0.0,0.0,0.0,mike,3
125.0,4671.79487179,4526.66666667,4602.56410256,4272.82051282,4548.20512821,4019.48717949,4537.94871795,4658.46153846,4551.79487179,4695.38461538,4489.23076923,4473.33333333,4359.48717949,4312.30769231,1696.0,1664.0,89.035,0.0,0.0,0.0,0.0,mike,3
126.0,4660.0,4524.61538462,4598.97435897,4263.07692308,4547.69230769,4022.05128205,4536.41025641,4663.07692308,4546.15384615,4695.38461538,4482.05128205,4463.07692308,4354.35897436,4312.30769231,1695.0,1664.0,89.043,0.0,0.0,0.0,0.0,mike,3
127.0,4657.94871795,4512.30769231,4595.38461538,4263.58974359,4554.35897436,4026.66666667,4538.46153846,4661.02564103,4542.56410256,4691.79487179,4470.25641026,4459.48717949,4348.20512821,4302.05128205,1696.0,1665.0,89.051,0.0,0.0,0.0,0.0,mike,3
128.0,4658.46153846,4508.20512821,4596.41025641,4264.61538462,4553.84615385,4022.05128205,4536.92307692,4657.94871795,4541.02564103,4686.66666667,4471.28205128,4460.0,4348.20512821,4293.84615385,1695.0,1665.0,89.059,0.0,0.0,0.0,0.0,mike,3
0.0,4660.0,4521.53846154,4599.48717949,4263.58974359,4550.76923077,4018.46153846,4535.38461538,4663.07692308,4545.64102564,4689.23076923,4477.43589744,4463.07692308,4351.79487179,4304.61538462,1695.0,1665.0,89.067,0.0,0.0,0.0,0.0,mike,3
1.0,4664.61538462,4527.17948718,4602.05128205,4270.25641026,4551.28205128,4021.02564103,4537.43589744,4663.58974359,4547.17948718,4692.82051282,4477.43589744,4471.28205128,4352.30769231,4314.35897436,1695.0,1664.0,89.074,0.0,0.0,0.0,0.0,mike,3
2.0,4665.64102564,4520.51282051,4600.51282051,4275.38461538,4549.23076923,4019.48717949,4530.76923077,4656.41025641,4541.02564103,4687.17948718,4474.87179487,4474.35897436,4349.74358974,4311.79487179,1695.0,1665.0,89.082,0.0,0.0,0.0,0.0,mike,3
3.0,4661.53846154,4523.07692308,4600.0,4274.35897436,4551.28205128,4015.8974359,4521.53846154,4655.8974359,4544.61538462,4687.69230769,4483.07692308,4471.28205128,4353.33333333,4320.0,1694.0,1665.0,89.09,0.0,0.0,0.0,0.0,mike,3
4.0,4662.56410256,4527.17948718,4603.58974359,4274.87179487,4554.35897436,4018.97435897,4526.15384615,4662.56410256,4553.33333333,4694.87179487,4491.79487179,4472.30769231,4357.94871795,4328.71794872,1694.0,1665.0,89.098,0.0,0.0,0.0,0.0,mike,3
5.0,4667.17948718,4521.02564103,4605.12820513,4276.92307692,4551.79487179,4020.51282051,4537.94871795,4663.58974359,4548.71794872,4694.87179487,4483.58974359,4474.87179487,4354.87179487,4319.48717949,1694.0,1664.0,89.106,0.0,0.0,0.0,0.0,mike,3
6.0,4666.15384615,4519.48717949,4601.53846154,4272.30769231,4548.71794872,4016.41025641,4536.92307692,4653.84615385,4536.92307692,4685.12820513,4473.33333333,4468.20512821,4348.20512821,4306.66666667,1693.0,1665.0,89.114,0.0,0.0,0.0,0.0,mike,3
7.0,4662.56410256,4524.61538462,4600.0,4264.61538462,4549.74358974,4014.87179487,4526.66666667,4647.69230769,4535.8974359,4680.0,4475.38461538,4465.12820513,4346.15384615,4300.0,1694.0,1663.0,89.121,0.0,0.0,0.0,0.0,mike,3
8.0,4664.61538462,4523.07692308,4601.02564103,4265.12820513,4550.76923077,4016.41025641,4522.05128205,4652.82051282,4541.53846154,4684.61538462,4476.41025641,4467.69230769,4346.15384615,4302.05128205,1692.0,1663.0,89.129,0.0,0.0,0.0,0.0,mike,3
9.0,4665.12820513,4518.46153846,4598.97435897,4266.15384615,4552.30769231,4014.87179487,4523.07692308,4656.92307692,4538.97435897,4687.69230769,4473.84615385,4464.61538462,4344.1025641,4307.17948718,1693.0,1664.0,89.137,0.0,0.0,0.0,0.0,mike,3
10.0,4662.05128205,4521.02564103,4598.46153846,4267.17948718,4552.82051282,4013.33333333,4524.1025641,4656.92307692,4538.97435897,4688.20512821,4474.87179487,4461.53846154,4342.56410256,4309.23076923,1693.0,1662.0,89.145,0.0,0.0,0.0,0.0,mike,3
11.0,4667.69230769,4526.15384615,4602.05128205,4276.41025641,4551.28205128,4015.8974359,4525.64102564,4661.02564103,4546.66666667,4688.20512821,4475.38461538,4463.07692308,4342.05128205,4311.28205128,1693.0,1663.0,89.153,0.0,0.0,0.0,0.0,mike,3
12.0,4672.82051282,4526.66666667,4603.58974359,4278.97435897,4551.79487179,4017.43589744,4525.12820513,4664.61538462,4548.20512821,4685.64102564,4474.35897436,4462.56410256,4343.07692308,4307.17948718,1692.0,1662.0,89.161,0.0,0.0,0.0,0.0,mike,3
13.0,4665.64102564,4523.58974359,4600.51282051,4273.84615385,4550.25641026,4017.43589744,4524.61538462,4660.0,4540.51282051,4681.53846154,4473.33333333,4458.97435897,4342.56410256,4295.8974359,1693.0,1663.0,89.168,0.0,0.0,0.0,0.0,mike,3
14.0,4661.53846154,4521.53846154,4596.92307692,4277.43589744,4547.17948718,4018.97435897,4529.23076923,4657.94871795,4537.94871795,4683.07692308,4473.84615385,4460.51282051,4341.02564103,4293.84615385,1693.0,1662.0,89.176,0.0,0.0,0.0,0.0,mike,3
15.0,4663.07692308,4522.05128205,4595.8974359,4275.38461538,4550.25641026,4017.94871795,4529.23076923,4658.46153846,4540.51282051,4687.17948718,4475.38461538,4461.53846154,4342.05128205,4295.8974359,1694.0,1662.0,89.184,0.0,0.0,0.0,0.0,mike,3
16.0,4661.53846154,4520.0,4596.92307692,4268.20512821,4553.84615385,4015.8974359,4522.05128205,4658.46153846,4540.51282051,4687.17948718,4476.41025641,4458.97435897,4343.58974359,4295.8974359,1693.0,1661.0,89.192,0.0,0.0,0.0,0.0,mike,3
17.0,4666.66666667,4522.05128205,4603.07692308,4273.84615385,4552.82051282,4018.46153846,4524.1025641,4663.58974359,4548.20512821,4690.25641026,4476.92307692,4466.15384615,4349.23076923,4305.64102564,1693.0,1662.0,89.2,0.0,0.0,0.0,0.0,mike,3
18.0,4675.38461538,4531.79487179,4610.25641026,4281.02564103,4554.35897436,4021.53846154,4535.38461538,4665.12820513,4555.38461538,4691.28205128,4476.41025641,4475.8974359,4351.79487179,4313.33333333,1694.0,1661.0,89.207,0.0,0.0,0.0,0.0,mike,3
19.0,4679.48717949,4532.82051282,4611.79487179,4278.46153846,4557.43589744,4020.51282051,4540.0,4664.1025641,4552.30769231,4688.20512821,4478.97435897,4476.92307692,4348.20512821,4311.79487179,1692.0,1662.0,89.215,0.0,0.0,0.0,0.0,mike,3
20.0,4684.1025641,4525.64102564,4613.84615385,4277.94871795,4553.33333333,4018.46153846,4535.8974359,4667.17948718,4550.76923077,4688.71794872,4487.17948718,4474.35897436,4351.79487179,4316.41025641,1694.0,1662.0,89.223,0.0,0.0,0.0,0.0,mike,3
